HART ID,Region,DHB ID,DHB Name,Campus ID,Campus Name,Building Name,Highest Building Service,Year Built,"Number of storeys 
(Ground floor and up)","Basement floors 
(Floors below ground floor)",Total # Floors,GFA,Condition Grade,Condition,%NBS,Graded NBS,Seismic IL,Seismic Zone
10002,Northern,1,Auckland,1,Auckland City Hospital,Auckland City Hospital - Main Building,Hospital,2003,,,-,80860,Good,1.58,1,A,IL4,Low Zone
10003,Northern,1,Auckland,1,Auckland City Hospital,Auckland City Hospital Support Building,Hospital,1969,,,13,54445,Average,2.97,0.72,B,IL4,Low Zone
10014,Northern,1,Auckland,1,Auckland City Hospital,Helipad Carpark Building (Car Park Blg B),Parking,2001,,,-,33482,Good,1.76,1,A,IL2,Low Zone
10020,Northern,1,Auckland,1,Auckland City Hospital,Starship (Children's Hospital),Hospital,1992,,,7,19743,Average,2.41,1,A,IL4,Low Zone
10001,Northern,1,Auckland,1,Auckland City Hospital,ACH Car Park Blg A,Administration,2012,,,-,16732,Good,1.19,1,A,IL2,Low Zone
10015,Northern,1,Auckland,1,Auckland City Hospital,Lab (Formally Lab + Pathology),Administration,2002,,,-,8292,Good,1.34,0.8,A,IL4,Low Zone
10017,Northern,1,Auckland,1,Auckland City Hospital,Oncology Centre (original area),Hospital,1988,,,-,5203,Good,1.53,1,A,IL2,Low Zone
10022,Northern,1,Auckland,1,Auckland City Hospital,Te Whetu Tawera (Acute Mental Health Unit),Mental Health,2003,,,3,5014,Average,2.49,1,A,IL3,Low Zone
10021,Northern,1,Auckland,1,Auckland City Hospital,Supply / Patient's Records,Administration,1975,,,-,3718,NO DATA,NO DATA,1,A,IL2,Low Zone
10019,Northern,1,Auckland,1,Auckland City Hospital,Procare Building 50 Grafton Road,Nil,1978,,,-,2278,NO DATA,NO DATA,NSA,NA,IL2,Low Zone
10006,Northern,1,Auckland,1,Auckland City Hospital,Building 7 (Prev 'Therapy Block'),Administration,1918,,,-,1834,NO DATA,NO DATA,0.2,D,IL2,Low Zone
10005,Northern,1,Auckland,1,Auckland City Hospital,Building 30 (Accomodation unit),Administration,1973,,,-,1694,Average,2.15,0.5,C,IL2,Low Zone
10010,Northern,1,Auckland,1,Auckland City Hospital,Creche and Fraser MacDonald Unit ,Mental Health,1992,,,-,1678,Average,2.3,1,A,IL2,Low Zone
10016,Northern,1,Auckland,1,Auckland City Hospital,Oncology Centre (addition 1998),Administration,1998,,,-,824,Very Good,0.87,NSA,NA,IL2,Low Zone
10013,Northern,1,Auckland,1,Auckland City Hospital,Ernest & Marion Davis Library,Administration,1960,,,-,752,Very Good,0.97,0.67,B,IL2,Low Zone
10012,Northern,1,Auckland,1,Auckland City Hospital,Dialysis Unit,Hospital,1992,,,-,663,Good,1.3,0.7,B,IL2,Low Zone
10007,Northern,1,Auckland,1,Auckland City Hospital,Building 9 (Prev Clinical Support),Administration,1956,,,-,651,NO DATA,NO DATA,0.26,D,IL2,Low Zone
10004,Northern,1,Auckland,1,Auckland City Hospital,Boiler House,Industrial,1968,,,4,567,Poor,3.22,0.45,C,IL4,Low Zone
10008,Northern,1,Auckland,1,Auckland City Hospital,Clinical engineering - decanting,Administration,1953,,,-,490,NO DATA,NO DATA,0.27,D,IL2,Low Zone
10009,Northern,1,Auckland,1,Auckland City Hospital,Cogen Building (Energy Centre),Industrial,2004,,,1,426,Average,2.3,1,A,IL4,Low Zone
10011,Northern,1,Auckland,1,Auckland City Hospital,Dangerous Goods,Industrial,1975,,,-,181,Good,1.65,0.7,B,IL4,Low Zone
10018,Northern,1,Auckland,1,Auckland City Hospital,Prefabricated Garages Garden tool sheds ,Industrial,1978,,,-,79,NO DATA,NO DATA,NSA,NA,IL1,Low Zone
10040,Northern,1,Auckland,3,Greenlane Clinical Centre,Building 4 West (Prev Stage 2 Building),Hospital,1970,,,8,22313,Average,2.76,0.9,A,IL4,Low Zone
10037,Northern,1,Auckland,3,Greenlane Clinical Centre,"Building 11, 13, 14 (Prev OCC Health / Staff Res)",Hospital,1963,,,-,13652,Average,2.59,0.66,C,IL2,Low Zone
10039,Northern,1,Auckland,3,Greenlane Clinical Centre,Building 4 East,Hospital,2004,,,-,13094,Very Good,0.77,1,A,IL4,Low Zone
10045,Northern,1,Auckland,3,Greenlane Clinical Centre,"Cornwall Complex, Building 15",Hospital,1965,,,-,11773,Average,2.83,0.64,C,IL2,Low Zone
10047,Northern,1,Auckland,3,Greenlane Clinical Centre,"Cornwall Complex, Building 16 ",Administration,1965,,,-,8492,Average,2.23,0.52,C,IL2,Low Zone
10043,Northern,1,Auckland,3,Greenlane Clinical Centre,Building 7 (Prev Main Building),Hospital,1943,,,-,5853,Average,2.64,0.7,B,IL2,Low Zone
10044,Northern,1,Auckland,3,Greenlane Clinical Centre,Building 8 (Prev Admit Ward 12),Hospital,1967,,,-,3738,Very Good,0.88,0.48,C,IL2,Low Zone
10048,Northern,1,Auckland,3,Greenlane Clinical Centre,"Cornwall Complex, Building 17 ",Hospital,1964,,,-,3124,Average,2.41,0.43,C,IL2,Low Zone
10041,Northern,1,Auckland,3,Greenlane Clinical Centre,Building 5 (vacant no specific use identified),Nil,1906,,,-,1462,Very Poor,4.15,0.25,D,IL2,Low Zone
10042,Northern,1,Auckland,3,Greenlane Clinical Centre,Building 6 Costley Block (vacant awaiting upgrade),Nil,1891,,,-,1404,Very Poor,4.11,0.21,D,IL2,Low Zone
10038,Northern,1,Auckland,3,Greenlane Clinical Centre,Building 2 Boilerhouse,Industrial,1957,,,4,998,Poor,3.11,0.3,D,IL4,Low Zone
10049,Northern,1,Auckland,3,Greenlane Clinical Centre,Dialysis Building,Hospital,2012,,,-,628,Good,1.37,1,A,IL2,Low Zone
10046,Northern,1,Auckland,3,Greenlane Clinical Centre,"Cornwall Complex, Building 15 Dock Annex",Administration,1965,,,-,323,Average,2.79,0.48,C,IL2,Low Zone
10036,Northern,1,Auckland,3,Greenlane Clinical Centre,,Nil,1926,,,-,200,NO DATA,NO DATA,0.32,D,IL2,Low Zone
10051,Northern,1,Auckland,3,Greenlane Clinical Centre,Portacom Records Store Blg,Administration,2016,,,-,86,Very Good,0.86,NSA,NA,IL1,Low Zone
10050,Northern,1,Auckland,3,Greenlane Clinical Centre,Gas House,Industrial,1975,,,1,34,Average,3,NSA,NA,IL2,Low Zone
20004,Northern,1,Auckland,3,Greenlane Clinical Centre,Building 11 ,Administration,1978,,,-,0,NO DATA,NO DATA,0.48,C,IL2,Low Zone
10057,Northern,1,Auckland,4,Point Chevalier,Rehab Plus,Hospital,1980,,,-,4429,Average,2.41,1,A,IL3,Low Zone
10054,Northern,1,Auckland,4,Point Chevalier,Buchanan ,Mental Health,1973,,,1,2294,Poor,3.15,0.75,B,IL2,Low Zone
10055,Northern,1,Auckland,4,Point Chevalier,Buchanan House Dwellings (9) 799.6 + 197,Mental Health,2002,,,1,997,Average,2.69,NSA,NA,IL2,Low Zone
10058,Northern,1,Auckland,4,Point Chevalier,Rehab Plus Dwellings,Hospital,1992,,,-,228,Average,2.32,NSA,NA,IL2,Low Zone
10053,Northern,1,Auckland,4,Point Chevalier,Ahurere - Lotofale Two,Mental Health,1965,,,-,225,Average,2.17,NSA,NA,IL2,Low Zone
10060,Northern,1,Auckland,4,Point Chevalier,Te Ihi - Lotofale One,Mental Health,1969,,,-,200,Average,2.37,NSA,NA,IL2,Low Zone
10056,Northern,1,Auckland,4,Point Chevalier,Manawanui Meeting House,Mental Health,1991,,,-,189,Very Good,0.59,NSA,NA,IL2,Low Zone
10061,Northern,1,Auckland,4,Point Chevalier,Whare Kai (Rangimarie),Mental Health,2006,,,-,150,Very Good,0.91,NSA,NA,IL2,Low Zone
10052,Northern,1,Auckland,4,Point Chevalier,Ablutions Block,Mental Health,2013,,,-,72,Very Good,1,NSA,NA,IL2,Low Zone
10059,Northern,1,Auckland,4,Point Chevalier,Rehab Plus Occ. Therapy Shed,Administration,1998,,,-,40,NO DATA,NO DATA,NSA,NA,IL1,Low Zone
,Northern,1,Auckland,4,Port Chevalier,Campus Infrastructure,Administration,1978,-,-,-,-,Poor,3.8,,,IL4,
10064,Te Manawa Taki,8,Bay of Plenty,116,BOPDHB Community - Dental,"Dental Clinic, 2 Chair - Otūmoetai School",Hospital,1978,1,0,1,174,Good,1.34,1,A,IL2,Medium Zone
10066,Te Manawa Taki,8,Bay of Plenty,116,BOPDHB Community - Dental,"Dental Clinic, 3 Chair - TGA Intermediate School",Hospital,1978,1,0,1,174,Good,1.34,1,A,IL2,Medium Zone
10062,Te Manawa Taki,8,Bay of Plenty,116,BOPDHB Community - Dental,"Dental Clinic, 2 Chair - Arataki School",Hospital,1978,1,0,1,89,Good,1.34,1,A,IL2,Medium Zone
10065,Te Manawa Taki,8,Bay of Plenty,116,BOPDHB Community - Dental,"Dental Clinic, 2 Chair - Te Puke",Hospital,2010,1,0,1,89,Good,1.34,1,A,IL2,Medium Zone
10063,Te Manawa Taki,8,Bay of Plenty,116,BOPDHB Community - Dental,"Dental Clinic, 2 Chair - Greerton School",Hospital,1978,1,0,1,89,Good,1.58,1,A,IL2,Medium Zone
10067,Te Manawa Taki,8,Bay of Plenty,5,Murupara,"Murupara Clinic, 47 - 55 Oregon Drive, Murupara",Community Hospital,1978,1,0,1,-,Average,2.2,NULL,NA,IL2,Medium Zone
10100,Te Manawa Taki,8,Bay of Plenty,6,Tauranga Hospital,"T45 - North Wing - Physiotherapy / Allied Health (GF), SCBU (L1), Wards (L2, 3, 4)",Hospital,2007,5,1,6,6492,Good,1.1,0.2,D,IL3,Medium Zone
10105,Te Manawa Taki,8,Bay of Plenty,6,Tauranga Hospital,"T50 - Medical Day Stay (GF), ICU / CCU (L1), Cardiology Services (L2), bedbay (L3), shell only (L4)",Hospital,2011,1,0,1,6186,Good,1.25,1,A,IL4,Medium Zone
10087,Te Manawa Taki,8,Bay of Plenty,6,Tauranga Hospital,"T25 - Wards Block West - HIA / MSHOP (GF) Maternity (L1), Wards L2 - L4)",Hospital,1972,5,1,6,5079,Good,1.66,0.76,B,IL4,Medium Zone
10085,Te Manawa Taki,8,Bay of Plenty,6,Tauranga Hospital,"T23 - Wards Block Central - Lifts / Stairs, (LB - L4), Spotless (LB), Pharmacy (GF)",Administration,1963,5,1,6,4824,Average,2.37,0.45,C,IL4,Medium Zone
10086,Te Manawa Taki,8,Bay of Plenty,6,Tauranga Hospital,"T24 - Wards Block East - Library, Paeds Outpatients (G F), Transit lounge (L1), Admin (L2, L3) Restricted Access (L4)",Administration,1963,5,0,5,4064,Average,2.54,0.34,C,IL2,Medium Zone
10089,Te Manawa Taki,8,Bay of Plenty,6,Tauranga Hospital,"T27 - APU (GF) CSU (L1), Plantroom",Administration,1976,2,1,3,3556,Good,1.75,0.5,C,IL4,Medium Zone
10101,Te Manawa Taki,8,Bay of Plenty,6,Tauranga Hospital,"T46 - Podium - Outpatients (GF), theatres (L1)",Hospital,2007,2,0,2,3380,Good,1.1,0.2,D,IL4,Medium Zone
10093,Te Manawa Taki,8,Bay of Plenty,6,Tauranga Hospital,"T34 - Pōhutukawa House - Design & Print (B), Clinical School, Corp Services (L1), HR (L2) ",Administration,1959,2,1,3,3031,Average,2.1,0.4,C,IL2,Medium Zone
10090,Te Manawa Taki,8,Bay of Plenty,6,Tauranga Hospital,"T28 - Clinical Services - Radiology, Orthopaedic Outpatients (GF)",Administration,1976,1,1,2,2588,Good,1.67,0.34,C,IL4,Medium Zone
10106,Te Manawa Taki,8,Bay of Plenty,6,Tauranga Hospital,T51 - 889 Cameron Road - Education Centre,Administration,1974,1,0,1,2303,Poor,3.36,0.4,C,IL2,Medium Zone
10068,Te Manawa Taki,8,Bay of Plenty,6,Tauranga Hospital,T01 - Adult Mental Health (Te Whare o Maiangiangi),Mental Health,2002,1,0,1,2219,Average,2.07,1,A,IL3,Medium Zone
10082,Te Manawa Taki,8,Bay of Plenty,6,Tauranga Hospital,"T20 - Kaimai Tunnel (B), Kitchen (L1)",Administration,1963,2,1,3,1910,Average,2.78,0.62,C,IL4,Medium Zone
10107,Te Manawa Taki,8,Bay of Plenty,6,Tauranga Hospital,T51A - 889 Cameron Road - Ex RSA Flats,Residential,1970,1,0,1,1686,Average,2.81,NULL,NA,IL2,Medium Zone
10094,Te Manawa Taki,8,Bay of Plenty,6,Tauranga Hospital,T35 - Kowhai House - CMH - CADS,Mental Health,1942,2,1,3,1580,Good,1.92,0.62,C,IL3,Medium Zone
10104,Te Manawa Taki,8,Bay of Plenty,6,Tauranga Hospital,T49 - Emergency Department Extension,Hospital,2007,1,0,1,1182,Good,1.1,0.34,C,IL4,Medium Zone
10091,Te Manawa Taki,8,Bay of Plenty,6,Tauranga Hospital,T29 - Emergency Department,Hospital,1976,1,1,2,1182,Good,1.73,0.35,C,IL4,Medium Zone
10084,Te Manawa Taki,8,Bay of Plenty,6,Tauranga Hospital,T22 - Main Stores,Administration,1963,1,0,1,1087,Poor,3.7,0.34,C,IL2,Medium Zone
10073,Te Manawa Taki,8,Bay of Plenty,6,Tauranga Hospital,"T06 - DHB Building - Property Services (LG), Information Services (L1)",Administration,1972,2,0,2,1038,Average,2.45,0.32,D,IL4,Medium Zone
10077,Te Manawa Taki,8,Bay of Plenty,6,Tauranga Hospital,T13 - Carpenters,Industrial,1956,1,0,1,797,Average,2.45,NULL,NA,IL2,Medium Zone
10078,Te Manawa Taki,8,Bay of Plenty,6,Tauranga Hospital,T14 - Engineers,Industrial,1956,2,0,2,797,Average,2.45,NULL,NA,IL2,Medium Zone
10102,Te Manawa Taki,8,Bay of Plenty,6,Tauranga Hospital,T47 - SHSOP,Hospital,2007,1,0,1,781,Good,1.1,0.34,C,IL3,Medium Zone
10080,Te Manawa Taki,8,Bay of Plenty,6,Tauranga Hospital,T17 - Silver Birch House,Administration,1944,1,0,1,691,Poor,3.2,0.4,C,IL2,Medium Zone
10092,Te Manawa Taki,8,Bay of Plenty,6,Tauranga Hospital,T30 - Child And Adolescent Mental Health Service (CAMHS),Hospital,1970,1,0,1,652,Average,2.41,0.8,A,IL2,Medium Zone
10083,Te Manawa Taki,8,Bay of Plenty,6,Tauranga Hospital,T21 - Vacant (ex Pathlab),Nil,1963,1,0,1,602,Poor,3.37,0.34,C,IL3,Medium Zone
10103,Te Manawa Taki,8,Bay of Plenty,6,Tauranga Hospital,T48 - Cancer Centre,Administration,2007,1,0,1,589,Good,1.1,0.34,C,IL3,Medium Zone
10081,Te Manawa Taki,8,Bay of Plenty,6,Tauranga Hospital,T19 - Boiler House,Industrial,1964,1,0,1,508,Good,1.86,0.68,B,IL4,Medium Zone
10095,Te Manawa Taki,8,Bay of Plenty,6,Tauranga Hospital,T36 - Gymnasium,Administration,1959,1,0,1,325,Average,2.2,0.48,C,IL2,Medium Zone
10071,Te Manawa Taki,8,Bay of Plenty,6,Tauranga Hospital,T04 Specialist Mental Health For Older People,Hospital,1955,1,0,1,317,Average,2.45,0.64,C,IL2,Medium Zone
10115,Te Manawa Taki,8,Bay of Plenty,6,Tauranga Hospital,T82 31 Eighteenth Ave Residence,Residential,1965,1,0,1,310,Average,2.45,NULL,NA,S,Medium Zone
10099,Te Manawa Taki,8,Bay of Plenty,6,Tauranga Hospital,T44 - Lift Tower / Stairs to Carpark E,Administration,2006,4,0,4,260,Average,2.71,0.34,C,IL3,Medium Zone
10069,Te Manawa Taki,8,Bay of Plenty,6,Tauranga Hospital,T02 - Corporate Management Mental Health (Top House),Administration,1915,1,0,1,193,Average,2.45,0.38,C,IL2,Medium Zone
10079,Te Manawa Taki,8,Bay of Plenty,6,Tauranga Hospital,T16 - CEO Office,Administration,1954,1,0,1,193,Poor,3.35,0.84,A,IL2,Medium Zone
10072,Te Manawa Taki,8,Bay of Plenty,6,Tauranga Hospital,T05 - Whanau House,Residential,1956,1,0,1,192,Average,2.35,0.48,C,IL2,Medium Zone
10116,Te Manawa Taki,8,Bay of Plenty,6,Tauranga Hospital,T83 4 / 110 Hamilton St Residence,Residential,1975,3,0,3,170,Good,1.95,0.33,D,IL2,Medium Zone
10075,Te Manawa Taki,8,Bay of Plenty,6,Tauranga Hospital,T10 - Renal Unit,Hospital,1958,1,0,1,155,Average,2.11,0.34,C,IL2,Medium Zone
10076,Te Manawa Taki,8,Bay of Plenty,6,Tauranga Hospital,T12 - Timber Racks,Industrial,1965,1,0,1,132,NO DATA,NO DATA,NULL,NA,IL2,Medium Zone
10070,Te Manawa Taki,8,Bay of Plenty,6,Tauranga Hospital,T03 - Corporate Management Mental Health (Bottom House),Administration,1953,1,0,1,123,Average,2.45,0.32,D,IL2,Medium Zone
10112,Te Manawa Taki,8,Bay of Plenty,6,Tauranga Hospital,T57 Biomed,Administration,2004,1,0,1,120,Good,1.2,1,A,IL2,Medium Zone
10111,Te Manawa Taki,8,Bay of Plenty,6,Tauranga Hospital,T56 POD Typists,Nil,2004,1,0,1,120,Average,2.45,NULL,NA,IL2,Medium Zone
10097,Te Manawa Taki,8,Bay of Plenty,6,Tauranga Hospital,T41 - Gardeners & Painters,Industrial,1965,1,0,1,115,Average,2.71,0.71,B,IL2,Medium Zone
10098,Te Manawa Taki,8,Bay of Plenty,6,Tauranga Hospital,T42 - Fire Sprinkler House,Industrial,2008,1,0,1,80,Good,1.75,0.34,C,IL4,Medium Zone
10109,Te Manawa Taki,8,Bay of Plenty,6,Tauranga Hospital,T54 POD Community Dental Services,Hospital,2004,1,0,1,50,Average,2.45,NULL,NA,IL2,Medium Zone
10110,Te Manawa Taki,8,Bay of Plenty,6,Tauranga Hospital,T55 POD CCYHS,Administration,2004,1,0,1,50,Average,2.45,NULL,NA,IL2,Medium Zone
10113,Te Manawa Taki,8,Bay of Plenty,6,Tauranga Hospital,T58 POD Governance and Quality,Administration,2004,1,0,1,50,Average,2.45,NULL,NA,IL2,Medium Zone
10114,Te Manawa Taki,8,Bay of Plenty,6,Tauranga Hospital,T59 POD Renal Unit Office,Administration,2004,1,0,1,50,Average,2.45,NULL,NA,IL2,Medium Zone
10108,Te Manawa Taki,8,Bay of Plenty,6,Tauranga Hospital,T53 - Pump House - Water Tanks,Industrial,2011,1,0,1,20,Good,1.64,1,A,IL4,Medium Zone
10088,Te Manawa Taki,8,Bay of Plenty,6,Tauranga Hospital,T26 - Medical Gases Main Manifolds,Industrial,2010,1,0,1,20,Good,1.94,1,A,IL4,Medium Zone
10096,Te Manawa Taki,8,Bay of Plenty,6,Tauranga Hospital,T40 - Bulk Oxygen,Industrial,2015,1,0,1,20,Average,2.43,1,A,IL4,Medium Zone
10074,Te Manawa Taki,8,Bay of Plenty,6,Tauranga Hospital,T07 - Dangerous Goods Store,Industrial,2009,1,0,1,4,NO DATA,NO DATA,NULL,NA,IL2,Medium Zone
10117,Te Manawa Taki,8,Bay of Plenty,8,Te Kaha,"TK Clinic, 6680 SH 35, Te Kaha",Community Hospital,2003,1,0,1,-,Average,2.45,NULL,NA,IL2,High Zone
10159,Te Manawa Taki,8,Bay of Plenty,7,Whakatāne,W69 - Pathlab,Administration,2015,1,0,1,-,Good,1.25,1,A,IL2,High Zone
10160,Te Manawa Taki,8,Bay of Plenty,7,Whakatāne,W70 - Blood Collection,Hospital,2015,1,0,1,-,Good,1.25,1,A,IL2,High Zone
10158,Te Manawa Taki,8,Bay of Plenty,7,Whakatāne,W68 - Fire Booster Pump,Industrial,2014,1,0,1,-,Good,1.1,1,A,IL4,High Zone
10156,Te Manawa Taki,8,Bay of Plenty,7,Whakatāne,W66 - Bulk Oxygen,Industrial,2014,1,0,1,-,Good,1.57,1,A,IL4,High Zone
10157,Te Manawa Taki,8,Bay of Plenty,7,Whakatāne,W67 - Gas Bottle Manifold,Industrial,2014,1,0,1,-,Good,1.71,1,A,IL4,High Zone
10162,Te Manawa Taki,8,Bay of Plenty,7,Whakatāne,W72 - Water Tank and pumps container,Industrial,2016,1,0,1,-,Very Poor,5,1,A,IL4,High Zone
10129,Te Manawa Taki,8,Bay of Plenty,7,Whakatāne,W100 - Main Hospital,Hospital,2014,1,1,2,8796,Good,1.5,1,A,IL4,High Zone
10133,Te Manawa Taki,8,Bay of Plenty,7,Whakatāne,W20 - Mental Health (Te Toki Maurere MHIPU),Mental Health,1965,2,0,2,1691,Average,2.9,0.35,C,IL3,High Zone
10120,Te Manawa Taki,8,Bay of Plenty,7,Whakatāne,"W02 - Dawson Block, Med Records Offices (LG), Admin (L1)",Administration,1961,2,1,3,1438,Average,2.36,0.7,B,IL2,High Zone
10131,Te Manawa Taki,8,Bay of Plenty,7,Whakatāne,W12 - Te Koru Rehab / Physio,Hospital,1929,1,1,2,1142,Good,1.16,0.4,C,IL2,High Zone
10144,Te Manawa Taki,8,Bay of Plenty,7,Whakatāne,W53 - Ko Matariki (Maternity),Hospital,1967,1,0,1,1026,Good,1.57,1,A,IL3,High Zone
10146,Te Manawa Taki,8,Bay of Plenty,7,Whakatāne,W56 - Clinical School,Administration,2011,1,0,1,921,Average,2.1,1,A,IL2,High Zone
10138,Te Manawa Taki,8,Bay of Plenty,7,Whakatāne,"W30 - Ex Laundry, Gym, Records Storage",Administration,1957,1,1,2,828,Good,1.92,NULL,NA,IL2,High Zone
10125,Te Manawa Taki,8,Bay of Plenty,7,Whakatāne,W07 - Cancer Clinic,Administration,1990,1,0,1,694,Average,2.67,0.4,C,IL2,High Zone
10163,Te Manawa Taki,8,Bay of Plenty,7,Whakatāne,"WPod1 - District Nursing, Community Child & Health Services, Toi Te Ora Public Health Staff",Hospital,2011,1,0,1,658,Good,1.1,1,A,IL2,High Zone
10136,Te Manawa Taki,8,Bay of Plenty,7,Whakatāne,W23 - Engineering,Industrial,1956,1,0,1,602,Average,2.46,NULL,NA,IL4,High Zone
10122,Te Manawa Taki,8,Bay of Plenty,7,Whakatāne,W04 - Outpatient - OPD,Hospital,1940,1,0,1,579,Average,2.54,0.34,C,IL3,High Zone
10127,Te Manawa Taki,8,Bay of Plenty,7,Whakatāne,W09 - Kitchen,Administration,1940,1,0,1,525,Average,2.5,0.4,C,IL2,High Zone
10148,Te Manawa Taki,8,Bay of Plenty,7,Whakatāne,W58 - Māori Health,Hospital,2011,1,0,1,467,Average,2.1,1,A,IL2,High Zone
10164,Te Manawa Taki,8,Bay of Plenty,7,Whakatāne,"WPod2 - Transport, Human Resources, Occupational Health, RCS Management, Property Services",Administration,2011,1,0,1,435,Good,1.1,1,A,IL2,High Zone
10118,Te Manawa Taki,8,Bay of Plenty,7,Whakatāne,W Walkways,Administration,2013,1,0,1,360,Poor,3.1,NULL,NA,IL2,High Zone
10147,Te Manawa Taki,8,Bay of Plenty,7,Whakatāne,W57 - Paeds Clinic,Hospital,1967,1,0,1,300,Good,1.57,0.84,A,IL3,High Zone
10143,Te Manawa Taki,8,Bay of Plenty,7,Whakatāne,W38 - 4&6 / 52 Stewart St,Residential,1960,1,0,1,275,NO DATA,NO DATA,NULL,NA,IL2,High Zone
10132,Te Manawa Taki,8,Bay of Plenty,7,Whakatāne,W15 - Library,Administration,2011,1,0,1,228,Average,2.1,1,A,IL2,High Zone
10142,Te Manawa Taki,8,Bay of Plenty,7,Whakatāne,W37 - 2 / 52 Stewart St,Residential,1960,1,0,1,221,NO DATA,NO DATA,NULL,NA,IL2,High Zone
10166,Te Manawa Taki,8,Bay of Plenty,7,Whakatāne,"WPod3A - ACC Eligibility, Renal, Sexual Health, Purchasing",Hospital,2011,1,0,1,217,Good,1.1,1,A,IL2,High Zone
10141,Te Manawa Taki,8,Bay of Plenty,7,Whakatāne,W36 - 46 Stewart St,Residential,1960,1,0,1,207,NO DATA,NO DATA,NULL,NA,IL2,High Zone
10123,Te Manawa Taki,8,Bay of Plenty,7,Whakatāne,W05 - Office Block A (Dr's Offices),Administration,1940,1,0,1,204,Average,2.26,NULL,NA,IL2,High Zone
10126,Te Manawa Taki,8,Bay of Plenty,7,Whakatāne,W08 - Hotel Services,Administration,1945,1,1,2,197,Good,1.95,0.32,D,IL2,High Zone
10161,Te Manawa Taki,8,Bay of Plenty,7,Whakatāne,W71 - Pharmacy,Administration,2015,1,0,1,190,Good,1.25,1,A,IL2,High Zone
10145,Te Manawa Taki,8,Bay of Plenty,7,Whakatāne,W55 - Rehab Stores,Administration,2011,1,0,1,161,Very Good,0.55,1,A,IL2,High Zone
10124,Te Manawa Taki,8,Bay of Plenty,7,Whakatāne,W06 - Hotel Services (Corridor / Office / Clinics?),Administration,1978,1,0,1,161,Average,2.41,1,A,IL2,High Zone
10149,Te Manawa Taki,8,Bay of Plenty,7,Whakatāne,W59 - Renal,Hospital,1960,1,0,1,151,Average,2.45,0.34,C,IL3,High Zone
10130,Te Manawa Taki,8,Bay of Plenty,7,Whakatāne,W11 - Doctors Offices (Ex Pharmacy),Administration,1975,1,0,1,148,Average,2.42,0.4,C,IL2,High Zone
10165,Te Manawa Taki,8,Bay of Plenty,7,Whakatāne,"WPod3 - Social Workers, Support net",Hospital,2011,1,0,1,144,Good,1.1,1,A,IL2,High Zone
10134,Te Manawa Taki,8,Bay of Plenty,7,Whakatāne,W21 - IT Offices (Prev Project Office) ,Administration,1985,1,0,1,133,Average,2.45,NULL,NA,IL2,High Zone
10137,Te Manawa Taki,8,Bay of Plenty,7,Whakatāne,W26 - Engineering Storage,Industrial,1985,1,0,1,100,Average,2.4,NULL,NA,IL2,High Zone
10121,Te Manawa Taki,8,Bay of Plenty,7,Whakatāne,W03 - Chapel,Administration,1967,1,0,1,99,Good,1.99,0.34,C,IL2,High Zone
10128,Te Manawa Taki,8,Bay of Plenty,7,Whakatāne,W10 - IT / Biomed,Administration,1940,1,0,1,75,Average,2.47,0.4,C,IL2,High Zone
